,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_rgft,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining,topology_dist_between,tbl_dist_between,res_tree_edge_length
4,17,N5,N28,0.092,-1763.120236,-1751.80239,-11.31784599999991769437,0.00164338,0.160491,0.2641986,0.043399,0.0,0.0,7.0,0.01726592,0.00862562
4,18,N5,Sp002,0.102,-1763.120313,-1751.80239,-11.31792299999983697489,1e-08,0.160491,9.99999993922529e-09,1e-08,0.26419859000000007,0.160491,7.0,0.01726519,0.00862562
4,19,N5,Sp019,0.094,-1777.833325,-1751.80239,-26.03093499999999949068,1e-08,0.160491,9.99999993922529e-09,1e-08,0.26419859000000007,0.160491,7.0,0.02566031,0.00862562
4,20,N5,Sp016,0.095,-1777.833325,-1751.80239,-26.03093499999999949068,1e-08,0.160491,9.99999993922529e-09,1e-08,0.26419859000000007,0.160491,7.0,0.02566031,0.00862562
4,21,N5,Sp007,0.093,-1763.119911,-1751.80239,-11.31752099999994243262,1e-08,0.160491,9.999999994736442e-09,1e-08,0.26419859,0.160491,8.0,0.017264810000000002,0.00862562
4,22,N5,Sp006,0.105,-1763.119903,-1751.80239,-11.31751299999996263068,0.00148433,0.160491,0.0014843299999999782,0.00148433,0.26271427,0.160491,8.0,0.01874913,0.00862562
4,23,N5,N36,0.098,-1763.120634,-1751.80239,-11.31824400000004970934,1e-08,0.160491,0.2641986,0.043399,0.0,0.0,8.0,0.01726634,0.00862562
4,24,N5,Sp000,0.097,-1763.120704,-1751.80239,-11.31831399999987297633,0.00164338,0.160491,0.001643379999999972,0.00164338,0.26255522000000003,0.160491,8.0,0.0189093,0.00862562
4,25,N5,Sp012,0.102,-1763.120125,-1751.80239,-11.31773499999985688191,0.043399,0.160491,0.043398999999999965,0.043399,0.22079960000000004,0.160491,9.0,0.060665340000000005,0.00862562
4,26,N5,Sp001,0.100,-1763.121108,-1751.80239,-11.31871799999998984276,1e-08,0.160491,9.99999993922529e-09,1e-08,0.26419859000000007,0.160491,9.0,0.01726635,0.00862562
5,0,N6,N1,0.100,-1754.091961,-1751.80239,-2.28957100000002355955,0.0101008,0.160491,0.050435609999999964,0.160491,0.16244838,0.160491,2.0,0.00863882,0.00345792
5,1,N6,Sp020,0.093,-1761.476752,-1751.80239,-9.67436199999997370469,0.160491,0.160491,0.16049099999999997,0.160491,0.05239299,0.012024,4.0,0.17923061999999998,0.00345792
5,2,N6,Sp015,0.096,-1761.476875,-1751.80239,-9.67448500000000422006,0.00195738,0.160491,0.001957379999999981,0.00195738,0.21092661,0.160491,4.0,0.020697,0.00345792
5,3,N6,N5,0.091,-1754.091949,-1751.80239,-2.28955900000005385664,0.00862562,0.160491,0.01550902999999998,0.160491,0.19737496,0.160491,3.0,0.01726444,0.00345792
5,4,N6,N7,0.104,-1751.814354,-1751.80239,-0.01196400000003450259,0.012024,0.160491,0.21288322999999998,0.012024,7.6e-07,7.5e-07,2.0,0.00345807,0.00345792
5,5,N6,N8,0.095,-1773.289517,-1751.80239,-21.48712699999987307820,1.5e-07,0.160491,0.003143359999999984,0.160491,0.20974062999999998,0.160491,4.0,0.01726459,0.00345792
5,6,N6,Sp009,0.103,-1773.289478,-1751.80239,-21.48708799999985785689,0.00374005,0.160491,0.003740049999999967,0.00374005,0.20914394,0.160491,4.0,0.02100449,0.00345792
5,7,N6,Sp018,0.096,-1750.680496,-1751.80239,1.12189400000011119118,0.00761997,0.160491,0.007619969999999976,0.00761997,0.20526402,0.160491,3.0,0.01107804,0.00345792
5,8,N6,N13,0.092,-1751.817378,-1751.80239,-0.01498799999990296783,1e-08,0.160491,0.21288398999999997,7.5e-07,0.0,0.0,3.0,0.01548207,0.00345792
5,9,N6,N14,0.094,-1792.293867,-1751.80239,-40.49147700000003169407,9e-08,0.160491,0.0031429099999999988,0.160491,0.20974107999999997,0.160491,5.0,0.01726468,0.00345792
5,10,N6,N15,0.095,-1792.293869,-1751.80239,-40.49147900000002664456,1e-08,0.160491,0.21288398999999997,1.1e-07,0.0,0.0,5.0,0.01726466,0.00345792
5,11,N6,Sp017,0.096,-1753.766588,-1751.80239,-1.96419799999989663775,7.5e-07,0.160491,7.499999999660556e-07,7.5e-07,0.21288324,0.160491,4.0,0.015482820000000001,0.00345792
5,12,N6,Sp014,0.100,-1753.766713,-1751.80239,-1.96432299999992210360,1e-08,0.160491,9.999999966980866e-09,1e-08,0.21288398,0.160491,4.0,0.01548208,0.00345792
5,13,N6,Sp011,0.095,-1792.293732,-1751.80239,-40.49134200000003147579,0.00314281,0.160491,0.003142809999999996,0.00314281,0.20974117999999997,0.160491,6.0,0.02040749,0.00345792
5,14,N6,Sp004,0.091,-1792.293862,-1751.80239,-40.49147199999993063102,1e-08,0.160491,9.999999994736442e-09,1e-08,0.21288397999999997,0.160491,6.0,0.01726469,0.00345792
5,15,N6,N24,0.094,-1792.293856,-1751.80239,-40.49146599999994577956,1e-08,0.160491,0.21288398999999997,1.1e-07,0.0,0.0,6.0,0.01726476,0.00345792
5,16,N6,Sp005,0.097,-1792.293856,-1751.80239,-40.49146599999994577956,1e-08,0.160491,9.999999994736442e-09,1e-08,0.21288397999999997,0.160491,6.0,0.01726467,0.00345792
5,17,N6,Sp010,0.090,-1792.293842,-1751.80239,-40.49145199999998112617,1.1e-07,0.160491,1.0999999999761201e-07,1.1e-07,0.21288387999999997,0.160491,7.0,0.017264869999999998,0.00345792
5,18,N6,Sp003,0.090,-1792.293843,-1751.80239,-40.49145299999986491457,1e-08,0.160491,9.999999994736442e-09,1e-08,0.21288397999999997,0.160491,7.0,0.01726477,0.00345792
