,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_prune,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining
4,25,N5,Sp012,0.102,-1763.120125,-1751.80239,-11.31773499999985688191,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
4,26,N5,Sp001,0.100,-1763.121108,-1751.80239,-11.31871799999998984276,0.00374005,0.160491,0.27970763,0.00374005,0.0,0.0
5,0,N6,N1,0.100,-1754.091961,-1751.80239,-2.28957100000002355955,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,1,N6,Sp020,0.093,-1761.476752,-1751.80239,-9.67436199999997370469,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,2,N6,Sp015,0.096,-1761.476875,-1751.80239,-9.67448500000000422006,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,3,N6,N5,0.091,-1754.091949,-1751.80239,-2.28955900000005385664,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,4,N6,N7,0.104,-1751.814354,-1751.80239,-0.01196400000003450259,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,5,N6,N8,0.095,-1773.289517,-1751.80239,-21.48712699999987307820,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,6,N6,Sp009,0.103,-1773.289478,-1751.80239,-21.48708799999985785689,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,7,N6,Sp018,0.096,-1750.680496,-1751.80239,1.12189400000011119118,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,8,N6,N13,0.092,-1751.817378,-1751.80239,-0.01498799999990296783,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,9,N6,N14,0.094,-1792.293867,-1751.80239,-40.49147700000003169407,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,10,N6,N15,0.095,-1792.293869,-1751.80239,-40.49147900000002664456,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,11,N6,Sp017,0.096,-1753.766588,-1751.80239,-1.96419799999989663775,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,12,N6,Sp014,0.100,-1753.766713,-1751.80239,-1.96432299999992210360,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,13,N6,Sp011,0.095,-1792.293732,-1751.80239,-40.49134200000003147579,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,14,N6,Sp004,0.091,-1792.293862,-1751.80239,-40.49147199999993063102,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,15,N6,N24,0.094,-1792.293856,-1751.80239,-40.49146599999994577956,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,16,N6,Sp005,0.097,-1792.293856,-1751.80239,-40.49146599999994577956,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,17,N6,Sp010,0.090,-1792.293842,-1751.80239,-40.49145199999998112617,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
5,18,N6,Sp003,0.090,-1792.293843,-1751.80239,-40.49145299999986491457,0.00345792,0.160491,0.06682363999999999,0.160491,0.21288399,0.160491
6,0,N7,N1,0.093,-1754.091894,-1751.80239,-2.28950399999985165778,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,1,N7,Sp020,0.094,-1761.476665,-1751.80239,-9.67427499999985229806,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,2,N7,Sp015,0.092,-1761.476668,-1751.80239,-9.67427799999995841063,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,3,N7,N5,0.093,-1754.091984,-1751.80239,-2.28959399999985180330,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,4,N7,N6,0.092,-1751.813574,-1751.80239,-0.01118399999995745020,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,5,N7,N8,0.103,-1773.710217,-1751.80239,-21.90782699999999749707,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,6,N7,Sp009,0.119,-1773.710403,-1751.80239,-21.90801299999998263957,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,7,N7,N10,0.096,-1758.769021,-1751.80239,-6.96663100000000667933,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,8,N7,N11,0.095,-1758.767603,-1751.80239,-6.96521299999994880636,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,9,N7,N14,0.100,-1796.334005,-1751.80239,-44.53161499999987427145,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,10,N7,N15,0.096,-1796.334005,-1751.80239,-44.53161499999987427145,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,11,N7,N16,0.089,-1761.837678,-1751.80239,-10.03528800000003684545,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,12,N7,N17,0.092,-1761.837623,-1751.80239,-10.03523299999983464659,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,13,N7,N18,0.096,-1765.991279,-1751.80239,-14.18888900000001740409,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,14,N7,Sp013,0.101,-1765.418941,-1751.80239,-13.61655099999984486203,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,15,N7,Sp011,0.094,-1796.333926,-1751.80239,-44.53153599999996004044,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,16,N7,Sp004,0.097,-1796.333933,-1751.80239,-44.53154299999982868030,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
6,17,N7,N24,0.097,-1796.333927,-1751.80239,-44.53153699999984382885,0.012024,0.160491,0.27970687,0.012024,7.6e-07,7.5e-07
